,uf,municipio,longitude,latitude
526,BA,Ribeira do Pombal,-38.538152,-10.837299
527,BA,Ribeirão do Largo,-40.744137,-15.450775
528,BA,Rio Real,-37.933243,-11.48137
529,BA,Rio de Contas,-41.804764,-13.585218
530,BA,Rio do Antônio,-42.072103,-14.407144
531,BA,Rio do Pires,-42.290166,-13.11853
532,BA,Rodelas,-38.77999,-8.850214
533,BA,Ruy Barbosa,-40.493101,-12.281612
534,BA,Salinas da Margarida,-38.756164,-12.873014
535,BA,Salvador,-38.501068,-12.97178
536,BA,Santa Brígida,-38.120935,-9.732273
537,BA,Santa Bárbara,-38.968085,-11.95149
538,BA,Santa Cruz Cabrália,-39.029495,-16.282529
539,BA,Santa Cruz da Vitória,-39.811503,-14.963975
540,BA,Santa Inês,-39.813979,-13.2793
541,BA,Santa Luzia,-39.328678,-15.434188
542,BA,Santa Maria da Vitória,-44.201057,-13.385867
543,BA,Santa Rita de Cássia,-44.525496,-11.006253
544,BA,Santa Teresinha,-39.520111,-12.76913
545,BA,Santaluz,-39.375005,-11.250826
546,BA,Santana,-44.05064,-12.979217
547,BA,Santanópolis,-38.869372,-12.031109
548,BA,Santo Amaro,-38.713679,-12.547206
549,BA,Santo Antônio de Jesus,-39.258403,-12.961387
550,BA,Santo Estêvão,-39.250541,-12.427981
551,BA,Sapeaçu,-39.182426,-12.720764
552,BA,Saubara,-38.762473,-12.738664
553,BA,Saúde,-40.415458,-10.94279
554,BA,Seabra,-41.772159,-12.416905
555,BA,Sebastião Laranjeiras,-42.943438,-14.571002
556,BA,Senhor do Bonfim,-40.186532,-10.459354
557,BA,Sento Sé,-41.878563,-9.741378
558,BA,Serra Dourada,-43.950434,-12.759004
559,BA,Serra Preta,-39.33049,-12.156039
560,BA,Serra do Ramalho,-43.592907,-13.565889
561,BA,Serrinha,-39.009976,-11.658407
562,BA,Serrolândia,-40.298327,-11.408476
563,BA,Simões Filho,-38.402944,-12.786587
564,BA,Sobradinho,-40.81455,-9.450243
565,BA,Souto Soares,-41.642717,-12.088046
566,BA,Sátiro Dias,-38.593822,-11.592928
567,BA,São Desidério,-44.976881,-12.357196
568,BA,São Domingos,-39.526792,-11.464927
569,BA,São Felipe,-39.08932,-12.839439
570,BA,São Francisco do Conde,-38.678601,-12.618345
